nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope per_env | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
[seed=1 size=640 env=00] 末轮 acc 0.603（记进汇总的是这个）   最好 epoch acc 0.795（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=1 size=640 env=01] 训练 418 张 / 测试 105 张 / 每 epoch 26 个 batch
 epoch       loss      acc      auc       秒
     1     0.6027    0.771    0.923    14.4
     2     0.4744    0.571    0.941    14.4
     3     0.3536    0.914    0.958    14.3
     4     0.3238    0.819    0.950    14.4
     5     0.3089    0.838    0.918    14.3
     6     0.2979    0.790    0.940    14.5
     7     0.2540    0.876    0.953    14.5
     8     0.2171    0.905    0.948    14.5
     9     0.2066    0.857    0.939    14.4
    10     0.1609    0.905    0.934    14.5
    11     0.1628    0.876    0.940    14.6
    12     0.1996    0.914    0.946    14.4
    13     0.1714    0.876    0.934    14.5
    14     0.1387    0.886    0.936    14.4
    15     0.2153    0.905    0.931    14.5
    16     0.1336    0.790    0.883    14.5
    17     0.1907    0.905    0.928    14.5
    18     0.1235    0.848    0.934    14.6
    19     0.1600    0.762    0.922    14.4
    20     0.1189    0.867    0.930    14.5
    21     0.1382    0.857    0.902    14.5
    22     0.1650    0.924    0.943    14.4
    23     0.1044    0.867    0.945    14.5
    24     0.1476    0.886    0.933    14.5
    25     0.0730    0.876    0.935    14.5
    26     0.1029    0.819    0.897    14.5
    27     0.1093    0.924    0.937    14.4
    28     0.0503    0.857    0.933    14.4
    29     0.2055    0.800    0.920    14.4
    30     0.1515    0.857    0.940    14.4
    31     0.0727    0.895    0.939    14.4
    32     0.0905    0.876    0.943    14.5
    33     0.0780    0.905    0.930    14.4
    34     0.0370    0.876    0.945    14.5
    35     0.1083    0.829    0.950    14.5
    36     0.1265    0.905    0.951    14.4
    37     0.0962    0.914    0.951    14.3
    38     0.0833    0.867    0.952    14.5
    39     0.1163    0.876    0.950    14.4
    40     0.1243    0.876    0.923    14.6
    41     0.1358    0.838    0.949    14.4
    42     0.1111    0.829    0.949    14.3
    43     0.0574    0.867    0.934    14.5
    44     0.1176    0.876    0.950    14.4
    45     0.0431    0.886    0.943    14.4
    46     0.0406    0.924    0.958    14.6
    47     0.0365    0.905    0.948    14.5
    48     0.0883    0.905    0.935    14.6
    49     0.0723    0.857    0.951    14.4
    50     0.0796    0.886    0.931    14.4
