dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,vit_b_16,640,0,02,32,0.51852,0.53576,0.10532
HTP,per_env,vit_b_16,640,0,02,33,0.53704,0.59748,0.10651
HTP,per_env,vit_b_16,640,0,02,34,0.48148,0.55259,0.13952
HTP,per_env,vit_b_16,640,0,02,35,0.59259,0.59748,0.13326
HTP,per_env,vit_b_16,640,0,02,36,0.5,0.53717,0.11704
HTP,per_env,vit_b_16,640,0,02,37,0.46296,0.52595,0.14176
HTP,per_env,vit_b_16,640,0,02,38,0.55556,0.54979,0.15976
HTP,per_env,vit_b_16,640,0,02,39,0.55556,0.56101,0.15262
HTP,per_env,vit_b_16,640,0,02,40,0.46296,0.48527,0.10871
HTP,per_env,vit_b_16,640,0,02,41,0.48148,0.47405,0.06583
HTP,per_env,vit_b_16,640,0,02,42,0.51852,0.5021,0.12389
HTP,per_env,vit_b_16,640,0,02,43,0.53704,0.56381,0.09419
HTP,per_env,vit_b_16,640,0,02,44,0.51852,0.49229,0.0709
HTP,per_env,vit_b_16,640,0,02,45,0.53704,0.554,0.09035
HTP,per_env,vit_b_16,640,0,02,46,0.51852,0.52735,0.09288
HTP,per_env,vit_b_16,640,0,02,47,0.62963,0.60028,0.13737
HTP,per_env,vit_b_16,640,0,02,48,0.55556,0.59187,0.13456
HTP,per_env,vit_b_16,640,0,02,49,0.55556,0.64376,0.18347
HTP,per_env,vit_b_16,640,0,02,50,0.59259,0.63394,0.15489
HTP,per_env,vit_b_16,224,1,00,1,0.57534,0.553,0.76032
HTP,per_env,vit_b_16,224,1,00,2,0.57534,0.50998,0.69017
HTP,per_env,vit_b_16,224,1,00,3,0.57534,0.47965,0.69618
HTP,per_env,vit_b_16,224,1,00,4,0.57534,0.49923,0.67532
HTP,per_env,vit_b_16,224,1,00,5,0.57534,0.49462,0.6727
HTP,per_env,vit_b_16,224,1,00,6,0.63014,0.62442,0.66835
HTP,per_env,vit_b_16,224,1,00,7,0.60274,0.60138,0.65871
HTP,per_env,vit_b_16,224,1,00,8,0.56164,0.56682,0.63687
HTP,per_env,vit_b_16,224,1,00,9,0.61644,0.55991,0.64259
