nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
[seed=3 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6479    0.711    0.765    13.2
     2     0.5613    0.694    0.805    13.3
     3     0.5315    0.681    0.800    13.3
     4     0.4983    0.720    0.802    13.4
     5     0.4783    0.741    0.823    13.3
     6     0.4450    0.638    0.749    13.3
     7     0.3887    0.677    0.774    13.3
     8     0.3569    0.603    0.781    13.3
     9     0.3066    0.724    0.815    13.4
    10     0.2974    0.716    0.797    13.2
    11     0.2568    0.716    0.776    13.2
    12     0.2795    0.741    0.829    13.3
    13     0.2421    0.685    0.800    13.4
    14     0.2055    0.690    0.777    13.2
    15     0.1603    0.711    0.822    13.3
    16     0.1615    0.724    0.803    13.2
    17     0.1469    0.720    0.817    13.2
    18     0.1320    0.716    0.789    13.3
    19     0.1391    0.672    0.781    13.1
    20     0.1530    0.690    0.783    13.3
    21     0.1504    0.720    0.795    13.3
    22     0.1383    0.767    0.816    13.2
    23     0.1364    0.698    0.782    13.3
    24     0.1357    0.733    0.803    13.2
    25     0.1225    0.750    0.805    13.3
    26     0.0919    0.750    0.824    13.3
    27     0.0876    0.724    0.809    13.2
    28     0.0734    0.759    0.831    13.2
    29     0.0944    0.737    0.810    13.1
    30     0.1068    0.746    0.784    13.3
    31     0.0826    0.716    0.808    13.3
    32     0.0894    0.733    0.819    13.2
    33     0.0947    0.720    0.796    13.2
    34     0.1039    0.668    0.836    13.5
    35     0.1017    0.707    0.802    13.1
    36     0.0907    0.677    0.809    13.4
    37     0.0906    0.737    0.816    13.3
    38     0.0765    0.703    0.809    13.2
    39     0.0697    0.711    0.809    13.4
    40     0.0801    0.728    0.795    13.3
    41     0.0580    0.767    0.820    13.3
    42     0.0547    0.724    0.791    13.4
    43     0.0692    0.754    0.801    13.2
    44     0.0860    0.724    0.826    13.1
    45     0.0851    0.741    0.802    13.2
    46     0.0627    0.733    0.804    13.1
    47     0.0446    0.716    0.834    13.2
    48     0.0784    0.741    0.809    13.4
    49     0.0843    0.698    0.789    13.4
    50     0.0779    0.711    0.796    13.3
[seed=3 size=640 pooled_split] 末轮 acc 0.711（记进汇总的是这个）   最好 epoch acc 0.767（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=4 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6508    0.668    0.750     3.0
     2     0.5968    0.716    0.808     3.0
     3     0.5199    0.724    0.812     3.0
     4     0.4601    0.772    0.840     3.0
     5     0.4352    0.737    0.831     3.1
     6     0.3967    0.698    0.804     3.1
     7     0.3470    0.746    0.806     3.0
     8     0.3469    0.694    0.836     3.0
     9     0.3213    0.767    0.842     3.0
    10     0.2643    0.746    0.821     3.0
    11     0.2476    0.720    0.784     3.0
    12     0.2409    0.677    0.809     3.0
    13     0.2173    0.724    0.797     3.0
    14     0.2421    0.728    0.827     3.0
    15     0.1948    0.754    0.829     3.0
    16     0.2055    0.759    0.836     3.0
    17     0.1927    0.694    0.775     3.0
    18     0.1775    0.707    0.791     3.0
    19     0.1844    0.711    0.786     3.0
    20     0.1845    0.720    0.780     3.0
    21     0.1804    0.724    0.776     3.0
    22     0.1524    0.741    0.805     3.0
    23     0.1658    0.724    0.796     3.0
    24     0.1619    0.711    0.799     3.0
    25     0.1526    0.707    0.784     3.0
    26     0.1690    0.711    0.782     3.0
    27     0.1522    0.677    0.767     3.1
    28     0.1169    0.698    0.791     3.0
    29     0.1334    0.733    0.797     3.0
    30     0.1241    0.737    0.803     3.1
    31     0.1429    0.763    0.844     3.0
