nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7462    0.470    0.609     5.2
     2     0.6895    0.496    0.622     5.2
     3     0.6864    0.569    0.650     5.1
     4     0.6752    0.543    0.641     5.2
     5     0.6889    0.543    0.637     5.2
     6     0.6762    0.586    0.678     5.2
     7     0.6534    0.543    0.465     5.1
     8     0.6887    0.509    0.650     5.4
     9     0.6727    0.509    0.608     5.1
    10     0.6659    0.543    0.616     5.1
    11     0.6944    0.543    0.659     5.1
    12     0.6757    0.612    0.647     5.1
    13     0.6672    0.543    0.630     5.1
    14     0.6456    0.578    0.605     5.1
    15     0.6677    0.517    0.505     5.2
    16     0.6644    0.517    0.604     5.1
    17     0.6686    0.543    0.666     5.1
    18     0.6607    0.608    0.695     5.1
    19     0.6605    0.543    0.650     5.1
    20     0.6550    0.625    0.676     5.1
    21     0.6550    0.543    0.551     5.1
    22     0.6576    0.539    0.710     5.1
    23     0.6394    0.608    0.651     5.1
    24     0.6629    0.573    0.626     5.1
    25     0.6325    0.578    0.678     5.2
    26     0.6476    0.582    0.638     5.2
    27     0.6701    0.625    0.702     5.1
    28     0.6241    0.642    0.694     5.2
    29     0.6188    0.603    0.704     5.1
    30     0.6218    0.677    0.709     5.1
    31     0.6084    0.625    0.656     5.1
    32     0.6184    0.638    0.700     5.1
    33     0.5994    0.634    0.682     5.1
    34     0.6174    0.543    0.569     5.1
    35     0.6393    0.672    0.710     5.1
    36     0.6175    0.655    0.733     5.1
    37     0.6172    0.586    0.662     5.1
    38     0.6026    0.560    0.662     5.1
    39     0.6059    0.578    0.651     5.2
    40     0.5890    0.629    0.683     5.1
    41     0.5711    0.659    0.757     5.1
    42     0.5891    0.681    0.711     5.2
    43     0.5715    0.694    0.713     5.2
    44     0.5365    0.668    0.700     5.1
    45     0.5888    0.681    0.719     5.2
    46     0.5552    0.672    0.707     5.1
    47     0.6033    0.664    0.719     5.1
    48     0.5560    0.599    0.720     5.1
    49     0.5457    0.681    0.756     5.2
    50     0.5317    0.659    0.713     5.1
[seed=4 size=224 pooled_split] 末轮 acc 0.659（记进汇总的是这个）   最好 epoch acc 0.694（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=4 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7039    0.565    0.636    31.9
     2     0.6475    0.599    0.687    31.8
     3     0.6413    0.470    0.549    32.2
     4     0.6374    0.647    0.723    31.8
     5     0.5918    0.625    0.764    31.9
     6     0.5810    0.716    0.782    32.0
     7     0.5582    0.582    0.766    32.0
     8     0.5269    0.737    0.796    31.9
     9     0.5396    0.720    0.809    32.0
    10     0.4993    0.694    0.826    32.1
    11     0.4726    0.728    0.806    31.9
    12     0.4671    0.694    0.806    31.9
    13     0.4421    0.728    0.808    32.0
    14     0.4379    0.672    0.812    32.0
    15     0.4158    0.707    0.802    31.9
    16     0.3844    0.716    0.831    31.9
    17     0.3774    0.711    0.811    31.7
    18     0.3447    0.716    0.819    32.0
    19     0.3471    0.672    0.798    31.8
    20     0.3141    0.724    0.827    31.9
    21     0.2654    0.741    0.823    31.9
    22     0.3143    0.733    0.826    31.9
    23     0.2799    0.737    0.830    31.9
    24     0.2304    0.741    0.786    32.0
    25     0.2314    0.754    0.811    31.9
    26     0.2540    0.728    0.829    31.9
    27     0.1999    0.741    0.822    32.1
    28     0.2200    0.750    0.832    32.0
    29     0.2221    0.759    0.856    32.1
    30     0.2073    0.737    0.835    32.0
    31     0.1964    0.737    0.838    32.2
    32     0.2104    0.737    0.851    32.2
    33     0.1685    0.737    0.842    32.2
    34     0.1857    0.750    0.846    32.1
    35     0.1232    0.724    0.803    32.0
    36     0.1352    0.694    0.835    32.0
    37     0.1495    0.733    0.826    31.8
    38     0.1141    0.733    0.823    31.8
    39     0.1287    0.720    0.823    31.8
    40     0.1729    0.720    0.813    32.1
    41     0.1427    0.746    0.831    31.8
    42     0.1198    0.754    0.872    31.7
    43     0.1476    0.728    0.811    32.0
    44     0.1091    0.772    0.858    31.9
    45     0.1440    0.733    0.818    31.8
    46     0.1287    0.767    0.854    31.8
    47     0.0905    0.716    0.821    31.9
    48     0.1139    0.733    0.805    31.8
    49     0.0941    0.754    0.843    31.9
    50     0.1045    0.741    0.841    32.0
[seed=4 size=640 pooled_split] 末轮 acc 0.741（记进汇总的是这个）   最好 epoch acc 0.772（挑了测试集上最好的一轮，只能参考，不能当结果报）

=== 汇总  dataset=HTP  scope=pooled_split  arch=vit_b_16  seeds=[0, 1, 2, 3, 4]  epochs=50  test_ratio=0.2 ===

acc
 image_size              00              01              02         overall
        224     0.592±0.045     0.789±0.065     0.530±0.032     0.666±0.040
        640     0.668±0.032     0.810±0.046     0.585±0.032     0.713±0.033

auc
 image_size              00              01              02         overall
        224     0.627±0.065     0.892±0.027     0.578±0.053     0.739±0.037
        640     0.714±0.040     0.902±0.032     0.634±0.059     0.796±0.033

结果已写入 indomain_res_vit.csv（本次 2000 行）
